,user_id,user_country,sex,height,weight,started,birth,ascent_id,grade_id,method_id,description,climb_type,date,year,name,crag,sector_id,sector,country,rating,user_recommended,score,fra_routes
22785,14909,PRT,0,172,63,2005,1980-07-01,817514,46,2,,0,1198364400,2007,Levitação,Guia,461,Escadas,PRT,3,0,650,6c+
22787,14909,PRT,0,172,63,2005,1980-07-01,936109,46,1,,0,1211580000,2008,Reforma educativa,Fenda,427,Carallon,PRT,3,0,650,6c+
22807,15319,ESP,0,176,68,2003,1981-08-13,666307,46,1,,0,1179093600,2007,Reforma educativa,Fenda,427,Carallon,PRT,0,0,650,6c+
22808,15743,ITA,0,182,78,2001,1975-10-04,688118,46,1,,0,1181772000,2007,Reforma educativa,Fenda,427,Carallon,PRT,3,0,650,6c+
22809,15768,ESP,0,183,78,1996,1976-08-14,1079010,46,2,,0,1225062000,2008,La chica rubia de guia,Guia,0,,PRT,0,0,650,6c+
22810,15932,PRT,0,0,0,2000,,808278,46,1,,0,1196463600,2007,Levitação,Guia,461,Escadas,PRT,3,0,650,6c+
22812,16204,PRT,0,0,63,2002,1980-11-06,1059205,46,3,,0,1223071200,2008,Cova da mijona,Azoia,642,Cova mijona,PRT,0,0,650,6c+
22813,16204,PRT,0,0,63,2002,1980-11-06,1189447,46,3,,0,1238194800,2009,"Amanda, uma especie de dinâmico",Meio mango,1966,Baía,PRT,3,0,650,6c+
22815,16204,PRT,0,0,63,2002,1980-11-06,1289211,46,3,,0,1245189600,2009,??,Fenda,0,Giroflé-giroflá,PRT,0,0,650,6c+
22816,16204,PRT,0,0,63,2002,1980-11-06,1816752,46,3,,0,1289689200,2010,Mango e meio,Meio mango,694,Poças,PRT,3,0,650,6c+
22824,16586,RUS,0,174,73,2003,1983-11-13,3716987,46,3,,0,1426633200,2015,Levitaçao,Guia,461,Degraus,PRT,0,0,650,6c+
22825,16590,PRT,1,171,53,2005,1992-05-04,3453429,46,3,,0,1407535200,2014,Via láctea,Guia,461,Degraus,PRT,0,0,650,6c+
22826,16590,PRT,1,171,53,2005,1992-05-04,3460715,46,1,,0,1408053600,2014,Levitaçao,Guia,461,Degraus,PRT,3,0,650,6c+
22827,16590,PRT,1,171,53,2005,1992-05-04,3489179,46,2,,0,1409349600,2014,Salto imortal,Azoia,642,Cova mijona,PRT,0,0,650,6c+
22828,16590,PRT,1,171,53,2005,1992-05-04,3524549,46,3,,0,1411768800,2014,Nice girls don't climb,Fenda,810,Crocodilos,PRT,0,0,650,6c+
22831,16590,PRT,1,171,53,2005,1992-05-04,3676630,46,2,,0,1423868400,2015,Limpógu,Fenda,1950,Carallon,PRT,3,0,650,6c+
22834,16590,PRT,1,171,53,2005,1992-05-04,3874566,46,3,,0,1436565600,2015,Reforma educativa,Fenda,427,Carallon,PRT,0,0,650,6c+
22840,16628,PRT,0,174,83,2004,1982-10-05,1678056,46,3,,0,1279144800,2010,Over the top,Guia,0,,PRT,0,0,650,6c+
22841,16868,ESP,0,190,78,1993,1978-05-13,708699,46,2,,0,1019685600,2002,Via láctea,Guia,461,Degraus,PRT,3,0,650,6c+
22849,17224,PRT,0,171,63,2006,1982-04-16,697954,46,1,,0,1183240800,2007,Septomania,Guia,768,Alcatifa,PRT,0,0,650,6c+
22850,17224,PRT,0,171,63,2006,1982-04-16,780904,46,1,,0,1187388000,2007,Via láctea,Guia,461,Degraus,PRT,3,0,650,6c+
